업태구분명,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
경양식,2262,150,82,510,380,264,92,75,127,88,163,136,488,348,529,309,172,332,80,334,796,128,973,566,70
기타,1484,404,545,217,325,354,321,233,444,152,566,492,2470,465,722,664,766,1635,582,669,1017,477,1233,745,337
김밥(도시락),99,20,12,30,18,49,14,4,17,18,26,5,10,11,44,17,39,38,17,26,25,6,17,25,3
까페,129,45,85,11,49,136,27,30,48,30,36,46,485,63,191,60,99,88,62,95,110,23,89,156,55
분식,933,331,262,351,486,343,369,212,349,168,275,274,423,345,435,166,227,546,235,597,279,272,753,632,299
뷔페식,57,21,7,18,12,21,33,5,13,7,11,17,12,5,29,13,12,22,8,44,8,9,20,55,7
식육(숯불구이),54,33,26,25,65,17,17,76,56,118,23,51,13,10,30,31,37,33,43,10,43,15,4,29,17
외국음식전문점(인도태국등),150,32,4,37,46,43,30,15,30,10,16,19,111,33,75,51,19,47,16,55,175,16,114,124,12
일식,897,190,119,319,232,283,150,78,181,120,144,137,483,163,336,175,129,368,120,345,243,159,275,365,114
정종/대포집/소주방,43,58,96,409,142,96,23,130,11,19,69,142,38,164,47,63,90,66,37,106,44,63,54,56,280
중국식,379,143,80,219,177,224,313,183,140,78,158,107,218,124,219,117,129,199,111,513,140,114,180,221,91
통닭(치킨),437,611,507,642,698,672,808,499,589,438,590,416,806,408,504,364,508,541,521,733,263,581,287,332,656
패밀리레스트랑,15,4,4,2,4,1,10,3,6,2,1,3,16,6,19,6,1,21,3,11,2,2,3,14,1
패스트푸드,198,35,22,40,25,24,33,12,27,19,24,25,25,15,16,27,21,14,20,34,20,15,22,8,24
한식,4828,1977,1621,3149,2073,1805,1882,1491,1533,1081,2068,1273,2505,1626,2769,1726,1580,3107,1249,3104,1518,1888,2992,2881,1705
횟집,12,43,21,28,44,9,26,26,25,10,34,37,5,16,17,17,37,21,43,14,4,15,10,9,49
