지역(구),코로나이전여부,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,외국음식전문점(인도태국등),횟집
강남구,이전,126,99,15,14,45,3,5,49,2,16,24,0,16,245,14,2
강남구,이후,376,338,25,30,133,12,2,141,5,63,83,5,35,841,35,2
강동구,이전,4,26,2,3,24,2,2,7,1,6,27,0,1,99,1,2
강동구,이후,22,83,3,10,48,4,7,22,14,22,85,1,4,315,2,7
강북구,이전,3,25,1,3,3,0,3,10,3,5,27,0,2,62,0,0
강북구,이후,25,116,4,22,67,6,9,15,22,9,118,0,5,297,0,8
강서구,이전,26,7,3,0,27,2,0,15,22,10,38,0,0,148,3,2
강서구,이후,83,37,0,2,47,5,6,79,59,31,100,0,7,535,8,9
관악구,이전,19,19,4,8,24,3,5,11,7,8,44,0,3,103,2,3
관악구,이후,83,44,3,8,101,5,14,30,31,21,134,0,3,364,9,6
광진구,이전,16,16,5,7,20,3,0,12,2,9,38,1,1,64,0,0
광진구,이후,43,70,8,15,67,2,0,42,10,22,89,1,1,241,4,2
구로구,이전,12,27,0,2,12,0,0,9,3,20,31,0,2,96,2,2
구로구,이후,23,87,2,6,84,5,1,22,7,54,175,1,7,368,7,5
금천구,이전,3,6,0,1,12,1,7,4,7,5,21,0,1,64,1,0
금천구,이후,11,46,0,8,20,5,17,14,12,26,57,0,3,170,2,4
노원구,이전,5,28,0,2,24,1,4,9,0,5,32,0,0,71,1,1
노원구,이후,20,76,3,6,41,7,7,26,1,18,96,3,7,214,1,5
도봉구,이전,10,5,0,2,7,0,3,5,3,2,17,0,3,56,2,1
도봉구,이후,11,28,4,8,51,2,13,15,3,8,88,2,1,171,3,4
동대문구,이전,7,29,2,4,17,0,3,9,8,5,33,0,1,108,0,4
동대문구,이후,23,77,2,1,33,4,5,29,14,18,80,0,6,272,3,7
동작구,이전,21,37,2,4,26,0,2,5,18,5,35,0,3,81,1,0
동작구,이후,31,95,2,9,40,2,11,16,24,20,72,1,1,165,5,3
마포구,이전,31,150,2,47,33,0,0,27,4,11,42,1,1,121,12,0
마포구,이후,93,552,6,116,62,3,0,79,13,33,126,3,11,388,27,3
서대문구,이전,12,25,1,0,16,1,1,9,3,2,19,0,0,69,1,0
서대문구,이후,76,110,3,18,58,2,1,30,33,19,87,0,2,249,9,1
서초구,이전,19,32,1,21,14,1,0,19,4,10,24,0,2,129,7,0
서초구,이후,93,166,9,37,79,9,7,53,14,31,80,2,3,412,13,0
성동구,이전,18,16,2,2,12,1,0,6,3,4,18,0,0,64,2,0
성동구,이후,62,118,3,8,40,2,2,35,11,13,62,2,3,255,1,2
성북구,이전,12,43,2,9,14,1,0,8,3,2,16,0,1,58,1,2
성북구,이후,36,111,5,25,45,0,1,23,10,18,99,0,7,221,2,9
송파구,이전,18,113,2,9,26,3,1,19,2,7,37,0,0,144,0,0
송파구,이후,62,326,7,14,74,8,3,58,10,30,89,2,2,454,7,4
양천구,이전,4,30,0,3,12,3,1,8,4,1,35,0,1,66,1,1
양천구,이후,19,140,6,10,54,4,11,29,10,23,114,1,1,243,10,6
영등포구,이전,19,26,3,4,19,1,0,19,3,24,29,0,0,109,1,3
영등포구,이후,37,86,7,14,72,11,0,37,7,71,109,1,4,342,9,1
용산구,이전,45,63,2,6,14,2,1,11,0,4,11,0,1,59,7,0
용산구,이후,132,185,2,20,38,1,8,23,11,14,36,0,2,185,28,1
은평구,이전,6,37,1,0,24,0,0,7,4,4,28,0,1,88,2,0
은평구,이후,17,87,0,4,45,4,1,33,13,16,95,0,2,310,1,0
종로구,이전,30,21,1,0,7,1,0,9,1,3,5,0,0,89,5,0
종로구,이후,93,141,1,13,53,7,0,31,3,15,15,0,2,264,25,2
중구,이전,12,17,0,4,24,1,1,16,0,10,11,0,0,72,3,0
중구,이후,45,89,6,19,55,12,4,48,5,39,46,4,0,261,17,1
중랑구,이전,3,12,0,0,17,0,0,8,14,1,23,0,0,60,0,5
중랑구,이후,14,41,1,2,39,1,0,9,39,10,80,0,4,228,1,5
